avggift,lastgife,pgift,ampergift,response
8.68,10,0.26,10,0
18,18,0.08,18,0
6.67,10,0.16,7.5,1
11,10,0.37,10,0
10.14,10,0.33,13,0
18,21,0.1,18,1
16.43,25,0.11,25,0
6.2,7,0.19,6.75,1
6.5,10,0.18,7.25,1
12.12,15,0.3,14.67,0
50,50,0.05,50,0
8.2,9,0.16,10,0
3.19,1,0.28,3.2,0
6.89,10,0.34,9,0
8,7,0.2,8,0
6.6,10,0.19,6.67,0
6.73,10,0.25,9.25,0
45,75,0.16,72.5,0
8.06,10,0.26,10,0
12,20,0.09,20,0
32.4,50,0.12,35.67,0
150,150,0.06,150,0
25,25,0.07,25,0
7.4,10,0.2,8.5,1
18.2,25,0.11,20,1
25,50,0.13,33.33,0
11.25,10,0.16,11.25,1
13.43,19,0.26,19.25,1
14.58,15,0.25,15,0
13.04,15,0.25,17,0
27.5,35,0.06,35,0
7.33,7,0.15,7.33,1
5.45,4,0.21,8.67,1
40.71,100,0.1,100,0
3.04,3,0.42,3.22,1
7.81,10,0.36,11.67,0
10,15,0.11,10,0
6.38,10,0.26,10.5,0
7.5,10,0.17,7.5,1
12.78,15,0.3,15,0
13.82,23,0.45,21.17,0
18.5,25,0.11,19.67,0
15,15,0.08,15,0
15,15,0.09,15,0
20,20,0.08,20,0
6.25,6,0.15,6.33,1
7,12,0.26,9.8,0
9.58,16,0.23,16,0
8,10,0.18,8,0
20,20,0.08,20,0
22.75,36,0.08,28.5,1
18.27,19,0.19,18,0
20,20,0.08,0,0
15,15,0.06,15,0
20,20,0.12,20,0
2.44,3,0.39,3.75,0
23.33,25,0.12,25,0
15.23,10,0.23,20.25,0
15.4,25,0.1,25,0
12.5,20,0.09,12.5,0
4.85,3,0.41,4.33,1
5.73,10,0.21,9,0
15,15,0.06,15,0
7.29,6,0.42,6.67,1
16,31,0.14,31,0
15,15,0.1,15,0
5.24,10,0.25,8,1
15,20,0.09,15,0
11.56,18,0.16,18,0
13,18,0.14,17,0
10.33,15,0.11,15,0
20,30,0.09,20,1
11.1,15,0.15,15,0
5.69,6,0.28,6.8,1
4.94,2,0.17,8,1
9.29,11,0.13,10,1
18.75,50,0.13,18.75,0
8.11,12,0.23,14,0
10.18,11,0.27,8.71,0
3.29,2,0.25,4.67,0
12.78,15,0.14,15,0
18.62,10,0.21,20,0
12.25,15,0.16,14.33,0
8,7,0.17,8,0
13.17,15,0.12,15,0
28.69,50,0.18,40,0
12,14,0.15,12,1
9.12,15,0.22,13,0
11.5,13,0.13,12,0
11,24,0.12,14.5,0
21.67,25,0.06,25,0
14,0,0.1,20,0
10,14,0.19,13,0
11.67,20,0.1,15,0
10,15,0.13,11.67,0
9.21,13,0.22,11.4,0
22,30,0.09,30,0
25,25,0.07,25,0
15,15,0.08,15,0
100,100,0.03,100,0
10.33,15,0.12,10.33,0
13.71,20,0.13,13.5,0
20,20,0.08,20,0
15.83,25,0.13,23.33,0
8.5,20,0.14,13,0
16.67,15,0.2,17.5,0
10.4,10,0.17,10.4,0
20,20,0.06,20,0
10.89,10,0.28,17,0
12.96,16,0.35,17.11,0
8.04,12,0.31,11.2,1
9,5,0.23,10,0
9.7,15,0.14,12.5,1
13,15,0.1,14.5,0
10.67,12,0.12,10.67,0
17.12,40,0.14,28.5,0
12.33,15,0.09,13.5,0
103.57,100,0.1,116.67,1
17.12,20,0.16,21.67,0
10.78,10,0.16,10,0
9.31,10,0.22,10.5,0
11.8,15,0.14,14.33,0
15,15,0.07,15,0
15,15,0.08,15,0
7.75,12,0.57,11,0
77.69,100,0.18,100,0
11.25,10,0.11,13.33,0
10.2,15,0.09,15,0
16.36,20,0.18,17.5,0
8.1,10,0.3,10,0
1000,1000,0.05,1000,0
4,6,0.29,4.57,0
6.67,6,0.21,5,0
7.67,7,0.16,8,0
39.44,50,0.13,50,1
12.12,20,0.24,16.67,0
16.03,20,0.44,19.1,0
20,20,0.06,20,0
24.25,25,0.1,25,0
20,20,0.07,20,0
11.11,18,0.17,17,0
21.5,25,0.18,25.67,0
10,15,0.1,10,0
25,30,0.1,26.67,0
6.67,10,0.15,6.67,0
11.6,11,0.12,15.5,0
27.09,50,0.23,33,0
15,15,0.17,22.5,0
9.82,18,0.23,17.33,0
9.76,10,0.28,11,0
20,20,0.07,20,1
50,50,0.09,50,0
9.4,10,0.15,11.67,0
23.75,20,0.08,20,0
14,10,0.16,16.67,0
15.23,25,0.23,22,0
18,18,0.08,18,0
2.76,2,0.49,4,1
14.5,19,0.15,19,0
2.59,5,0.27,2.6,0
9.14,0,0.25,12,0
5.64,10,0.42,9.5,1
8.73,5,0.24,13.2,0
9.17,10,0.25,12,0
5.95,9,0.3,7.75,0
11.44,20,0.14,20,1
15,15,0.1,15,0
8.53,20,0.21,15,0
13,16,0.08,13,0
18.14,26,0.14,23.5,0
11.5,16,0.17,14.5,0
19.38,25,0.21,25,0
8.1,13,0.24,9,0
11.17,20,0.15,13,0
10.5,17,0.11,17,0
11.62,14,0.18,14,1
11.57,15,0.15,11.5,0
25.5,25,0.3,28,0
10.67,20,0.09,13.5,1
8.67,15,0.12,10,0
7.25,12,0.17,8,0
10,13,0.13,11.67,0
6.06,6,0.31,6.75,0
6.64,11,0.17,9.67,1
8.1,10,0.18,8.75,0
15,15,0.09,15,0
13,15,0.13,15,0
21.5,17,0.12,19,0
8.93,11,0.36,9.75,1
12.68,15,0.23,16.86,0
3.3,2,0.2,2.67,0
17.5,15,0.12,17.5,0
11,25,0.09,25,1
9.89,4,0.26,12.8,0
5.79,10,0.24,9.5,0
18.73,25,0.17,25.33,0
15.25,20,0.21,20,0
15,15,0.11,15,0
6.15,9,0.31,8,1
7,15,0.16,8.67,0
8.89,12,0.22,10.17,0
16.57,24,0.12,21,1
25,25,0.07,25,0
9.56,13,0.23,11,0
9.25,15,0.1,15,0
9.25,15,0.11,15,0
8.31,10,0.21,10.67,0
15,15,0.08,15,1
15,20,0.11,15,0
8.91,11,0.3,10.6,0
16,17,0.09,16,0
5.14,4,0.26,4.4,1
20,20,0.06,20,0
16,19,0.11,16,0
15.22,25,0.15,25,0
13.29,20,0.12,17.33,0
9.38,12,0.18,14,0
15,15,0.12,15,1
16.79,23,0.18,23,1
10,15,0.09,10,0
22.5,35,0.1,22.5,0
20,20,0.06,20,0
8.4,10,0.15,9.25,0
5.33,6,0.26,5.67,0
10.07,10,0.22,10,0
7,15,0.19,12.5,0
7,5,0.21,8.33,0
5.09,5,0.25,5.6,0
20.91,30,0.36,32.5,0
15,15,0.11,15,0
12.31,14,0.29,12.8,0
4.42,12,0.23,6.67,1
8.07,12,0.24,10.33,0
12,17,0.12,17,0
7.42,15,0.2,9,0
8.46,3,0.3,13,0
20,30,0.09,25,0
10.58,11,0.25,13.29,0
15,15,0.07,15,0
5.64,5,0.23,7.5,0
8.7,12,0.16,12.67,0
11.58,15,0.23,14.88,1
22.83,23,0.14,24,1
10.67,20,0.12,16,1
8.24,16,0.33,16,0
14.55,20,0.2,16.67,0
6,10,0.38,10,0
5.35,5,0.29,5.33,0
37.5,25,0.09,50,0
20,20,0.06,20,0
12.5,15,0.11,15,1
10.58,15,0.26,15,0
7.5,10,0.19,8.4,0
15.71,0,0.19,19.6,0
6.87,14,0.23,13,0
8.8,13,0.19,7.67,0
14.2,15,0.11,10,0
4.42,10,0.25,5.33,0
25,25,0.07,25,0
12.5,15,0.08,12.5,0
19.5,25,0.09,0,0
6.14,7,0.21,6.67,0
11,20,0.13,17.5,0
6.38,13,0.19,12,0
9.2,10,0.22,10,0
6.48,12,0.44,9.25,1
8.53,12,0.21,11.33,0
5.27,7,0.33,5.5,1
6.5,5,0.37,7.5,1
9.88,15,0.15,15,0
20,20,0.07,20,0
9.88,15,0.15,15,0
12,15,0.35,12.2,0
4.11,5,0.24,4.6,1
15,20,0.09,15,0
18,19,0.1,19.5,0
10,10,0.21,10,0
9.25,7,0.17,9.25,0
21.2,25,0.09,22.5,0
12.5,20,0.09,12.5,0
7.11,10,0.18,8.17,0
14.75,50,0.17,37.33,0
9.1,10,0.28,12.5,0
23.33,20,0.12,23.33,0
5.8,10,0.35,8,0
8.77,10,0.2,10,0
3.63,3,0.3,5,0
12.04,10,0.32,10.25,1
17.5,25,0.08,25,0
20,20,0.07,20,0
8,10,0.19,9.6,1
20,25,0.08,22.5,0
6.73,10,0.2,10,0
13.71,20,0.15,15,0
19.8,25,0.19,23.25,0
8.73,10,0.16,10,0
13,20,0.14,16.67,1
10.67,10,0.14,11,0
9.4,15,0.13,11.67,0
5.69,15,0.21,0,0
17.64,10,0.15,10,0
5.83,5,0.16,6.25,1
7.9,9,0.26,9.83,0
20,20,0.07,20,0
17.5,20,0.13,15,0
33,50,0.08,50,1
8.6,10,0.19,9.67,1
15,25,0.11,25,0
13.22,21,0.15,21,0
13.18,25,0.16,25,0
8,15,0.15,10.67,1
11.67,25,0.17,21.67,1
7.57,10,0.19,10,0
10.5,15,0.19,15,0
11.25,10,0.13,11.67,1
16,26,0.13,26,0
22.5,25,0.24,25,0
56.69,20,0.18,20,0
10.79,15,0.22,15,0
10,10,0.12,10,1
5.67,5,0.3,8.33,0
5.4,7,0.27,5.57,1
17.5,25,0.08,17.5,0
11.42,15,0.25,13.5,0
14.17,10,0.23,13.33,0
5.89,5,0.29,7,0
10.29,15,0.14,13,0
12.88,18,0.15,16.67,1
7.5,5,0.15,6.67,0
12.31,25,0.18,25,0
17.83,10,0.15,18,1
15.2,20,0.16,20,0
18.5,27,0.08,26,0
4.6,8,0.26,7,0
8,10,0.29,10.44,0
7.41,12,0.28,13.5,0
10.5,12,0.16,10.67,1
12.5,25,0.11,20,0
28.33,20,0.12,32.5,0
8.25,10,0.19,10.33,0
9.38,20,0.17,20,0
4.29,8,0.26,4,0
2.42,3,0.42,3,0
16.67,25,0.12,22.5,0
19.17,25,0.16,20,1
15,25,0.1,15,1
5.94,6,0.44,5.88,1
17.5,25,0.1,17.5,0
7,10,0.33,7.5,1
13.3,10,0.16,12,0
12.5,10,0.14,15,0
7.44,12,0.25,12,0
4,3,0.27,5.17,0
6.55,15,0.19,7.67,0
4.14,5,0.26,5,1
4.5,6,0.29,4.67,0
12.67,26,0.16,18.33,0
9,10,0.2,10,1
18,18,0.08,18,0
15,25,0.13,21.67,0
11.83,17,0.16,12.75,0
13.67,25,0.12,13.67,0
7.5,10,0.11,13.5,0
6.14,15,0.17,10,0
12,20,0.11,17.5,0
30.6,35,0.09,35,0
5.62,5,0.3,6.6,0
10,15,0.09,15,0
17.18,25,0.17,21,0
9.25,10,0.34,12,0
11.5,15,0.23,15,0
15.33,23,0.1,23,1
12.4,15,0.15,12.5,0
15,0,0.08,15,1
23.5,32,0.11,31,0
19.29,25,0.11,25,0
11,12,0.19,11,1
25,25,0.08,25,1
14,20,0.16,18.33,1
10.43,10,0.16,11.4,0
11.27,25,0.17,22.5,0
15,15,0.07,15,0
7.8,15,0.11,15,0
14.38,20,0.14,20,0
12.5,16,0.1,14,1
19,25,0.08,21,0
18.31,21,0.27,18.67,0
12.5,15,0.09,12.5,1
9.89,15,0.16,15,0
19.2,25,0.09,25,0
20,20,0.07,20,0
9.67,13,0.18,11.5,0
25,25,0.07,25,0
12.4,16,0.16,15,0
6,16,0.19,7.75,0
13.67,16,0.12,15.5,0
5.25,6,0.28,6,1
7,10,0.14,7.5,1
26.83,39,0.86,46.5,1
6.4,10,0.16,6.75,1
20,20,0.07,20,0
12.36,17,0.2,17.75,1
8.67,16,0.12,13,0
9.93,15,0.18,15,0
27.14,50,0.13,50,0
12.43,20,0.11,20,0
15,15,0.11,15,0
15,15,0.07,15,1
25,25,0.05,25,0
6.85,11,0.49,8.67,1
15,20,0.11,20,0
11.25,15,0.09,15,0
9.08,12,0.21,10.8,0
12.22,25,0.17,19,0
14.79,15,0.16,14.5,0
7.5,10,0.33,17.5,1
9,15,0.1,11,0
21.5,30,0.21,25.33,0
11.33,15,0.16,10,0
10,15,0.1,12.5,0
28.33,50,0.08,25,0
11.5,15,0.11,15,1
13.67,10,0.16,12.5,0
15,20,0.11,15,0
13,16,0.09,13,1
7.73,10,0.25,10,1
13.33,15,0.07,15,0
11.4,15,0.19,13.33,0
15,15,0.08,15,1
8.58,12,0.28,10.4,1
7.14,7,0.37,9,0
20,20,0.08,20,0
15,15,0.1,15,0
6.17,12,0.19,7.25,0
19.7,10,0.36,25,0
11.68,10,0.36,14.67,0
12.6,20,0.14,14.5,0
5.38,5,0.24,5.25,1
11.75,15,0.11,17.5,0
5.56,11,0.42,6.36,0
5.62,10,0.41,7.5,1
15,20,0.46,20,1
5.44,6,0.33,5.86,0
15.73,25,0.19,16.67,0
15,15,0.09,15,0
24,30,0.1,30,0
5.63,5,0.25,5,0
10.6,16,0.12,15,1
20,25,0.08,20,0
37.78,100,0.16,66.67,0
5.89,6,0.27,6.25,0
15,20,0.09,15,0
15,20,0.09,15,1
8.94,12,0.23,12.5,1
32.5,40,0.08,32.5,0
8.83,20,0.19,20,0
9.14,17,0.23,15.67,0
4.83,5,0.27,5,1
6.74,10,0.2,8.33,0
10.1,16,0.15,15,0
3.12,5,0.27,3.75,1
13.2,20,0.19,12.33,0
12.4,15,0.3,12,0
13.33,20,0.13,16.5,1
6.71,14,0.24,13.5,0
100,100,0.03,100,0
10.2,14,0.13,13,0
15,15,0.07,15,0
13.28,18,0.24,17,0
8,15,0.12,12.5,0
14.5,16,0.09,16,0
23.67,30,0.11,30.67,0
7.83,5,0.16,8.4,0
12.5,20,0.09,12.5,0
10,15,0.11,10,0
7.33,20,0.14,20,0
7.56,10,0.19,8.33,1
9.25,15,0.12,15,0
12.14,12,0.17,12.5,0
17,18,0.14,17,0
15,15,0.07,15,1
20,20,0.08,20,0
12.2,19,0.25,13.67,1
11.46,12,0.22,11.75,0
5.71,5,0.2,6.25,0
9.84,15,0.42,15,1
11.5,24,0.15,17,0
11.5,25,0.18,13.5,0
9,12,0.14,11,0
4.58,5,0.32,5,0
7.45,8,0.19,8.67,1
5.5,7,0.24,5.86,0
12.71,20,0.1,19,0
20,20,0.07,20,0
9.69,15,0.35,11.2,1
7.3,15,0.18,15,1
10.31,12,0.21,12,1
20,25,0.1,25,0
20,30,0.07,30,0
16.25,20,0.08,20,0
6.67,10,0.2,7.4,0
12.25,20,0.2,13.57,0
15,17,0.12,16,0
17,27,0.07,27,0
15.71,0,0.11,18,0
7.33,9,0.21,7.8,1
10,20,0.14,12.5,1
16.87,20,0.2,19,0
17,35,0.14,35,0
7.25,7,0.18,6.33,0
8.75,15,0.11,12.5,0
11.75,15,0.18,11.75,0
10.55,25,0.27,10.57,1
5.64,10,0.17,10,0
11.86,10,0.13,15,0
3.44,5,0.28,3.5,0
8.26,12,0.32,0,0
11.8,16,0.14,15,0
12,18,0.1,0,0
9.35,10,0.19,10,0
10.54,20,0.24,18.33,0
5.12,5,0.44,5.46,0
9.77,10,0.22,10,0
10,14,0.24,11,0
15,20,0.1,15,0
4.8,5,0.24,5.25,0
45,50,0.18,50,0
13.33,15,0.09,15,0
9.1,11,0.23,10,0
6.67,5,0.15,6.67,1
6.79,15,0.19,10,0
15,15,0.08,15,0
10.33,15,0.16,12.5,1
8.93,13,0.39,12.5,0
4.93,5,0.22,5,0
7.75,10,0.24,8.67,0
13.71,25,0.15,17.75,0
9.6,15,0.18,13.67,1
5.29,5,0.22,5.29,0
6.39,10,0.3,8.38,0
11.33,12,0.14,11.33,0
9,10,0.17,10,0
60,100,0.08,72.5,0
26.67,30,0.1,26.67,0
14.27,20,0.15,20,0
15.14,20,0.29,19.33,0
6.43,5,0.13,8.33,1
17.87,20,0.22,20,1
10,15,0.12,13,0
17.5,30,0.14,22,0
31.36,35,0.17,35,0
14.33,10,0.11,15,0
9,14,0.24,9.43,0
33.33,50,0.12,33.33,1
13,20,0.1,20,0
4.56,4,0.26,4.83,0
6.4,8,0.16,8,0
14,0,0.11,20,0
13.5,25,0.23,25,0
10.6,5,0.14,10.25,0
20,20,0.07,20,0
14.17,25,0.12,22.5,0
14.12,18,0.14,18.75,0
8.86,15,0.23,15,0
10,10,0.3,10.57,0
20,20,0.12,20,0
7.79,10,0.47,10.12,1
5.06,10,0.26,10,0
22.5,25,0.08,22.5,1
14.55,15,0.27,16,0
18,30,0.15,29,0
15.2,30,0.1,0,0
6.62,6,0.25,7.86,0
7.86,12,0.3,10.67,0
9.67,13,0.14,12,0
30,30,0.07,30,0
8.18,12,0.23,11,0
26.23,25,0.17,31,0
5.71,8,0.28,6.25,0
8.73,15,0.2,15,0
10.4,14,0.24,12,0
20.83,40,0.14,30,1
11.8,10,0.2,10,1
25,50,0.12,20,0
8.4,10,0.18,8.4,0
7.87,10,0.22,10,0
10.06,10,0.32,12,1
15.33,25,0.11,25,0
9.2,16,0.12,12,1
16.67,20,0.16,21.25,0
16,17,0.1,16,0
12.22,12,0.16,12,1
12.17,20,0.2,14.5,0
8.14,10,0.33,9.25,1
6.6,11,0.25,11,0
10.4,11,0.15,11.33,0
15.38,62,0.59,23.11,0
11,19,0.35,18.67,0
10,15,0.09,15,0
6.59,10,0.25,9.2,0
17.33,20,0.07,20,0
20,20,0.08,20,0
13,16,0.1,13,0
7.69,12,0.32,10.5,0
10.67,15,0.16,12.33,0
10,10,0.13,10,0
5,5,0.18,5,1
20,20,0.07,20,0
11.29,16,0.21,14.4,0
13.67,20,0.16,20,0
24.6,27,0.11,27,0
9.89,20,0.15,17.5,1
6.12,9,0.37,7.67,1
7.5,8,0.19,8,1
14.31,25,0.2,22.67,0
11,16,0.41,16,0
16.42,18,0.23,17.33,0
11.89,20,0.14,17.5,0
13.6,18,0.19,17.25,0
6.38,6,0.32,6.5,0
20,15,0.06,25,0
7.89,12,0.16,10.67,0
10.18,11,0.17,11.67,1
5.87,5,0.22,7.67,0
18.33,25,0.1,18.33,1
9.6,6,0.19,10,0
15,15,0.08,15,0
10.5,20,0.17,17,1
20,25,0.09,20,0
15,0,0.06,20,0
12,10,0.11,12,0
9.33,20,0.19,9.8,0
20.25,29,0.15,29,0
6,6,0.2,6,0
13.56,17,0.22,16,1
13.6,20,0.1,20,0
14.67,17,0.1,17,0
25,25,0.07,25,0
5.2,10,0.39,10,1
20,20,0.07,20,0
46.07,25,0.23,25,0
12.22,20,0.24,20,0
4.62,10,0.2,12.5,0
14.78,10,0.13,21,1
25,25,0.16,25,1
20,20,0.06,20,0
8.88,10,0.23,0,0
31.71,25,0.12,25,0
22.5,25,0.07,20,0
18.2,30,0.12,30,0
9.75,15,0.1,15,0
16.56,20,0.23,21.25,0
4.33,4,0.34,5.67,0
6.82,6,0.32,8.6,0
18.33,25,0.11,15,1
7.33,10,0.16,7.33,0
9.6,10,0.15,11.25,0
25,25,0.06,25,0
15,15,0.08,15,1
25,25,0.06,25,0
7.57,15,0.15,12,0
10.75,10,0.18,13.5,1
8.36,10,0.16,10,0
17.57,30,0.12,30,0
8.33,13,0.24,11.25,0
9.91,19,0.16,22,0
6.08,4,0.23,5.5,0
8.38,12,0.25,11.25,0
7,5,0.2,8.33,0
10,15,0.1,10,0
14,20,0.11,14,0
15,15,0.25,15,0
8.62,10,0.24,10,0
13.75,15,0.15,13.75,0
12.56,10,0.14,12,0
10,15,0.16,10.75,0
12.8,20,0.16,17.33,0
11.88,22,0.22,21,0
11.06,10,0.22,15,0
8,7,0.17,8,1
9.75,10,0.23,10,0
13.2,20,0.14,16.67,0
15,25,0.08,15,0
6.9,10,0.23,8,0
15,25,0.13,15,1
8.75,10,0.15,8.75,1
6.93,11,0.26,11,0
11.83,25,0.23,16.75,0
20,20,0.07,0,0
11.25,10,0.14,13.33,0
13.5,22,0.09,13.5,0
6.8,10,0.21,7.5,0
19.5,30,0.12,30,0
16.35,30,0.27,22.8,1
7.5,15,0.2,13.33,1
10.29,10,0.24,10,0
7.62,10,0.18,12.5,0
10.25,20,0.15,11.67,0
19.67,27,0.09,27,0
7.9,10,0.18,9.6,1
9.16,12,0.33,12,0
34.58,25,0.18,25,0
5.89,8,0.3,9,0
11.86,10,0.23,10,0
25,25,0.06,25,0
7.25,10,0.3,10,0
8.56,11,0.5,11,0
12.33,15,0.16,18.67,0
9.56,20,0.17,17.5,0
11.2,12,0.17,12,1
11.39,10,0.34,13.2,0
17.25,25,0.08,25,0
14,20,0.11,14,0
16.25,20,0.11,27.5,0
20,20,0.06,20,0
17.52,26,0.4,25.25,0
11.67,15,0.09,15,1
18.18,50,0.25,38.33,1
20,20,0.07,20,0
